Date,Type,residence,Positive,Negative
9/24/2020,Faculty/Staff,Non-Residential,0,83
9/24/2020,Students,Students - Non-Residential,0,76
9/24/2020,Students,Students - Residential,0,460
9/25/2020,Faculty/Staff,Non-Residential,0,93
9/25/2020,Students,Students - Non-Residential,2,90
9/25/2020,Students,Students - Residential,1,400
9/26/2020,Faculty/Staff,Non-Residential,0,6
9/26/2020,Students,Students - Non-Residential,1,23
9/26/2020,Students,Students - Residential,0,14
9/27/2020,Faculty/Staff,Non-Residential,0,66
9/27/2020,Students,Students - Non-Residential,0,102
9/27/2020,Students,Students - Residential,0,59
9/28/2020,Faculty/Staff,Non-Residential,5,72
9/28/2020,Students,Students - Non-Residential,1,522
9/28/2020,Students,Students - Residential,0,498
9/29/2020,Faculty/Staff,Non-Residential,2,64
9/29/2020,Students,Students - Non-Residential,3,532
9/29/2020,Students,Students - Residential,1,392
9/30/2020,Faculty/Staff,Non-Residential,2,41
9/30/2020,Students,Students - Non-Residential,1,588
9/30/2020,Students,Students - Residential,2,443
10/1/2020,Faculty/Staff,Non-Residential,1,144
10/1/2020,Students,Students - Non-Residential,0,493
10/1/2020,Students,Students - Residential,0,387
10/2/2020,Faculty/Staff,Non-Residential,2,51
10/2/2020,Students,Students - Non-Residential,1,561
10/2/2020,Students,Students - Residential,3,487
10/3/2020,Faculty/Staff,Non-Residential,0,33
10/3/2020,Students,Students - Non-Residential,0,42
10/3/2020,Students,Students - Residential,0,15
10/4/2020,Faculty/Staff,Non-Residential,0,49
10/4/2020,Students,Students - Non-Residential,0,94
10/4/2020,Students,Students - Residential,0,43
10/5/2020,Faculty/Staff,Non-Residential,0,62
10/5/2020,Students,Students - Non-Residential,1,477
10/5/2020,Students,Students - Residential,2,486
10/6/2020,Faculty/Staff,Non-Residential,1,73
10/6/2020,Students,Students - Non-Residential,4,361
10/6/2020,Students,Students - Residential,0,379
10/7/2020,Faculty/Staff,Non-Residential,1,162
10/7/2020,Students,Students - Non-Residential,3,373
10/7/2020,Students,Students - Residential,0,367
10/8/2020,Faculty/Staff,Non-Residential,1,37
10/8/2020,Students,Students - Non-Residential,2,196
10/8/2020,Students,Students - Residential,0,332
10/9/2020,Faculty/Staff,Non-Residential,1,62
10/9/2020,Students,Students - Non-Residential,6,251
10/9/2020,Students,Students - Residential,0,498
10/10/2020,Faculty/Staff,Non-Residential,0,11
10/10/2020,Students,Students - Non-Residential,2,28
10/10/2020,Students,Students - Residential,0,14
10/11/2020,Faculty/Staff,Non-Residential,0,68
10/11/2020,Students,Students - Non-Residential,5,149
10/11/2020,Students,Students - Residential,0,66
10/12/2020,Faculty/Staff,Non-Residential,0,75
10/12/2020,Students,Students - Non-Residential,4,549
10/12/2020,Students,Students - Residential,1,503
10/13/2020,Faculty/Staff,Non-Residential,0,64
10/13/2020,Students,Students - Non-Residential,5,552
10/13/2020,Students,Students - Residential,7,472
10/14/2020,Faculty/Staff,Non-Residential,1,91
10/14/2020,Students,Students - Non-Residential,5,575
10/14/2020,Students,Students - Residential,5,487
10/15/2020,Faculty/Staff,Non-Residential,1,138
10/15/2020,Students,Students - Non-Residential,10,525
10/15/2020,Students,Students - Residential,8,304
10/16/2020,Faculty/Staff,Non-Residential,1,48
10/16/2020,Students,Students - Non-Residential,12,100
10/16/2020,Students,Students - Residential,1,45
10/17/2020,Faculty/Staff,Non-Residential,0,1
10/17/2020,Students,Students - Non-Residential,4,39
10/17/2020,Students,Students - Residential,0,12
10/18/2020,Faculty/Staff,Non-Residential,1,65
10/18/2020,Students,Students - Non-Residential,0,107
10/18/2020,Students,Students - Residential,0,53
10/19/2020,Faculty/Staff,Non-Residential,1,105
10/19/2020,Students,Students - Non-Residential,15,523
10/19/2020,Students,Students - Residential,5,388
10/20/2020,Faculty/Staff,Non-Residential,1,68
