Date,Type,residence,Positive,Negative
2/25/2021,Students,Students - Residential,1,397
2/26/2021,Faculty/Staff,Non-Residential,4,102
2/26/2021,Students,Students - Non-Residential,1,486
2/26/2021,Students,Students - Residential,1,243
2/27/2021,Faculty/Staff,Non-Residential,0,2
2/27/2021,Students,Students - Non-Residential,0,13
2/27/2021,Students,Students - Residential,0,7
2/28/2021,Faculty/Staff,Non-Residential,1,14
2/28/2021,Students,Students - Non-Residential,1,50
2/28/2021,Students,Students - Residential,0,24
3/1/2021,Faculty/Staff,Non-Residential,6,158
3/1/2021,Students,Students - Non-Residential,6,1184
3/1/2021,Students,Students - Residential,2,586
3/2/2021,Faculty/Staff,Non-Residential,2,97
3/2/2021,Students,Students - Non-Residential,5,1111
3/2/2021,Students,Students - Residential,2,556
3/3/2021,Faculty/Staff,Non-Residential,1,113
3/3/2021,Students,Students - Non-Residential,0,329
3/3/2021,Students,Students - Residential,0,39
3/4/2021,Faculty/Staff,Non-Residential,0,99
3/4/2021,Students,Students - Non-Residential,7,896
3/4/2021,Students,Students - Residential,1,533
3/5/2021,Faculty/Staff,Non-Residential,4,100
3/5/2021,Students,Students - Non-Residential,6,619
3/5/2021,Students,Students - Residential,0,283
3/6/2021,Faculty/Staff,Non-Residential,0,13
3/6/2021,Students,Students - Non-Residential,1,32
3/6/2021,Students,Students - Residential,0,13
3/7/2021,Faculty/Staff,Non-Residential,0,17
3/7/2021,Students,Students - Non-Residential,1,73
3/7/2021,Students,Students - Residential,0,15
3/8/2021,Faculty/Staff,Non-Residential,3,150
3/8/2021,Students,Students - Non-Residential,8,1208
3/8/2021,Students,Students - Residential,1,612
3/9/2021,Faculty/Staff,Non-Residential,2,94
3/9/2021,Students,Students - Non-Residential,6,973
3/9/2021,Students,Students - Residential,5,508
3/10/2021,Faculty/Staff,Non-Residential,1,140
3/10/2021,Students,Students - Non-Residential,8,1036
3/10/2021,Students,Students - Residential,5,407
3/11/2021,Faculty/Staff,Non-Residential,0,75
3/11/2021,Students,Students - Non-Residential,6,670
3/11/2021,Students,Students - Residential,0,398
3/12/2021,Faculty/Staff,Non-Residential,0,103
3/12/2021,Students,Students - Non-Residential,4,545
3/12/2021,Students,Students - Residential,0,220
3/13/2021,Faculty/Staff,Non-Residential,0,13
3/13/2021,Students,Students - Non-Residential,1,39
3/13/2021,Students,Students - Residential,0,13
3/14/2021,Faculty/Staff,Non-Residential,0,21
3/14/2021,Students,Students - Non-Residential,0,43
3/14/2021,Students,Students - Residential,0,21
3/15/2021,Faculty/Staff,Non-Residential,2,128
3/15/2021,Students,Students - Non-Residential,6,1185
3/15/2021,Students,Students - Residential,3,582
3/16/2021,Faculty/Staff,Non-Residential,1,115
3/16/2021,Students,Students - Non-Residential,5,1023
3/16/2021,Students,Students - Residential,7,482
3/17/2021,Faculty/Staff,Non-Residential,0,134
3/17/2021,Students,Students - Non-Residential,2,935
3/17/2021,Students,Students - Residential,2,385
3/18/2021,Faculty/Staff,Non-Residential,3,75
3/18/2021,Students,Students - Non-Residential,4,605
3/18/2021,Students,Students - Residential,3,398
3/19/2021,Faculty/Staff,Non-Residential,1,58
3/19/2021,Students,Students - Non-Residential,4,443
3/19/2021,Students,Students - Residential,0,202
3/20/2021,Faculty/Staff,Non-Residential,0,36
3/20/2021,Students,Students - Non-Residential,5,83
3/20/2021,Students,Students - Residential,1,49
3/21/2021,Faculty/Staff,Non-Residential,0,17
3/21/2021,Students,Students - Non-Residential,2,70
3/21/2021,Students,Students - Residential,0,22
3/22/2021,Faculty/Staff,Non-Residential,1,113
3/22/2021,Students,Students - Non-Residential,10,1127
3/22/2021,Students,Students - Residential,5,587
3/23/2021,Faculty/Staff,Non-Residential,3,95
3/23/2021,Students,Students - Non-Residential,12,1038
3/23/2021,Students,Students - Residential,13,587
3/24/2021,Faculty/Staff,Non-Residential,2,147
3/24/2021,Students,Students - Non-Residential,10,965
3/24/2021,Students,Students - Residential,12,362
3/25/2021,Faculty/Staff,Non-Residential,2,61
3/25/2021,Students,Students - Non-Residential,10,625
3/25/2021,Students,Students - Residential,9,361
3/26/2021,Faculty/Staff,Non-Residential,3,74
3/26/2021,Students,Students - Non-Residential,3,518
3/26/2021,Students,Students - Residential,5,239
3/27/2021,Faculty/Staff,Non-Residential,0,39
3/27/2021,Students,Students - Non-Residential,4,95
3/27/2021,Students,Students - Residential,4,64
3/28/2021,Faculty/Staff,Non-Residential,0,21
3/28/2021,Students,Students - Non-Residential,2,75
3/28/2021,Students,Students - Residential,0,20
3/29/2021,Faculty/Staff,Non-Residential,6,91
3/29/2021,Students,Students - Non-Residential,11,1078
3/29/2021,Students,Students - Residential,17,550
3/30/2021,Faculty/Staff,Non-Residential,1,121
3/30/2021,Students,Students - Non-Residential,10,1009
3/30/2021,Students,Students - Residential,19,561
3/31/2021,Faculty/Staff,Non-Residential,2,150
3/31/2021,Students,Students - Non-Residential,13,908
3/31/2021,Students,Students - Residential,11,346
4/1/2021,Faculty/Staff,Non-Residential,5,69
4/1/2021,Students,Students - Non-Residential,9,637
4/1/2021,Students,Students - Residential,7,339
4/2/2021,Faculty/Staff,Non-Residential,4,85
4/2/2021,Students,Students - Non-Residential,4,571
4/2/2021,Students,Students - Residential,7,214
4/3/2021,Students,Students - Non-Residential,0,25
4/3/2021,Students,Students - Residential,2,13
4/4/2021,Faculty/Staff,Non-Residential,0,15
4/4/2021,Students,Students - Non-Residential,4,42
4/4/2021,Students,Students - Residential,4,21
4/5/2021,Faculty/Staff,Non-Residential,2,167
4/5/2021,Students,Students - Non-Residential,9,1101
4/5/2021,Students,Students - Residential,10,520
4/6/2021,Faculty/Staff,Non-Residential,1,107
4/6/2021,Students,Students - Non-Residential,17,916
4/6/2021,Students,Students - Residential,5,527
4/7/2021,Faculty/Staff,Non-Residential,4,140
4/7/2021,Students,Students - Non-Residential,9,856
4/7/2021,Students,Students - Residential,10,314
4/8/2021,Faculty/Staff,Non-Residential,3,53
4/8/2021,Students,Students - Non-Residential,7,600
4/8/2021,Students,Students - Residential,6,370
4/9/2021,Faculty/Staff,Non-Residential,0,56
4/9/2021,Students,Students - Non-Residential,5,434
4/9/2021,Students,Students - Residential,3,201
4/10/2021,Faculty/Staff,Non-Residential,1,35
4/10/2021,Students,Students - Non-Residential,2,93
4/10/2021,Students,Students - Residential,1,53
4/11/2021,Faculty/Staff,Non-Residential,0,13
4/11/2021,Students,Students - Non-Residential,1,42
4/11/2021,Students,Students - Residential,0,17
4/12/2021,Faculty/Staff,Non-Residential,1,123
4/12/2021,Students,Students - Non-Residential,3,1196
4/12/2021,Students,Students - Residential,6,508
4/13/2021,Faculty/Staff,Non-Residential,2,103
4/13/2021,Students,Students - Non-Residential,5,871
4/13/2021,Students,Students - Residential,3,481
4/14/2021,Faculty/Staff,Non-Residential,1,134
4/14/2021,Students,Students - Non-Residential,1,290
4/14/2021,Students,Students - Residential,1,35
4/15/2021,Faculty/Staff,Non-Residential,3,97
4/15/2021,Students,Students - Non-Residential,5,771
4/15/2021,Students,Students - Residential,3,505
4/16/2021,Faculty/Staff,Non-Residential,0,63
4/16/2021,Students,Students - Non-Residential,5,449
4/16/2021,Students,Students - Residential,3,191
4/17/2021,Faculty/Staff,Non-Residential,0,2
4/17/2021,Students,Students - Non-Residential,0,8
4/17/2021,Students,Students - Residential,1,10
4/18/2021,Faculty/Staff,Non-Residential,0,11
4/18/2021,Students,Students - Non-Residential,2,39
4/18/2021,Students,Students - Residential,1,7
4/19/2021,Faculty/Staff,Non-Residential,3,102
4/19/2021,Students,Students - Non-Residential,5,981
4/19/2021,Students,Students - Residential,8,487
4/20/2021,Faculty/Staff,Non-Residential,3,93
4/20/2021,Students,Students - Non-Residential,10,805
4/20/2021,Students,Students - Residential,7,392
4/21/2021,Faculty/Staff,Non-Residential,1,159
4/21/2021,Students,Students - Non-Residential,6,768
4/21/2021,Students,Students - Residential,4,332
4/22/2021,Faculty/Staff,Non-Residential,2,63
4/22/2021,Students,Students - Non-Residential,5,516
4/22/2021,Students,Students - Residential,5,298
4/23/2021,Faculty/Staff,Non-Residential,0,40
4/23/2021,Students,Students - Non-Residential,3,362
4/23/2021,Students,Students - Residential,4,150
4/24/2021,Faculty/Staff,Non-Residential,0,4
4/24/2021,Students,Students - Non-Residential,0,12
4/24/2021,Students,Students - Residential,0,7
4/25/2021,Faculty/Staff,Non-Residential,0,16
4/25/2021,Students,Students - Non-Residential,0,63
4/25/2021,Students,Students - Residential,0,34
4/26/2021,Faculty/Staff,Non-Residential,6,124
4/26/2021,Students,Students - Non-Residential,5,1041
4/26/2021,Students,Students - Residential,5,485
4/27/2021,Faculty/Staff,Non-Residential,2,91
4/27/2021,Students,Students - Non-Residential,3,688
4/27/2021,Students,Students - Residential,2,387
4/28/2021,Faculty/Staff,Non-Residential,1,152
4/28/2021,Students,Students - Non-Residential,5,603
4/28/2021,Students,Students - Residential,2,298
4/29/2021,Faculty/Staff,Non-Residential,6,45
4/29/2021,Students,Students - Non-Residential,4,378
4/29/2021,Students,Students - Residential,1,263
4/30/2021,Faculty/Staff,Non-Residential,4,47
4/30/2021,Students,Students - Non-Residential,1,316
4/30/2021,Students,Students - Residential,2,137
5/1/2021,Faculty/Staff,Non-Residential,1,9
5/1/2021,Students,Students - Non-Residential,2,39
5/1/2021,Students,Students - Residential,0,19
5/2/2021,Faculty/Staff,Non-Residential,0,10
5/2/2021,Students,Students - Non-Residential,1,45
5/2/2021,Students,Students - Residential,0,12
5/3/2021,Faculty/Staff,Non-Residential,2,102
5/3/2021,Students,Students - Non-Residential,1,418
5/3/2021,Students,Students - Residential,0,107
5/4/2021,Faculty/Staff,Non-Residential,1,49
5/4/2021,Students,Students - Non-Residential,0,177
5/4/2021,Students,Students - Residential,0,82
5/5/2021,Faculty/Staff,Non-Residential,2,134
5/5/2021,Students,Students - Non-Residential,1,288
5/5/2021,Students,Students - Residential,0,85
5/6/2021,Faculty/Staff,Non-Residential,4,26
5/6/2021,Students,Students - Non-Residential,1,134
5/6/2021,Students,Students - Residential,0,58
5/7/2021,Faculty/Staff,Non-Residential,0,45
5/7/2021,Students,Students - Non-Residential,1,180
5/7/2021,Students,Students - Residential,0,34
5/8/2021,Faculty/Staff,Non-Residential,0,1
5/8/2021,Students,Students - Non-Residential,0,5
5/8/2021,Students,Students - Residential,0,2
5/9/2021,Faculty/Staff,Non-Residential,0,0
5/9/2021,Students,Students - Non-Residential,0,13
5/9/2021,Students,Students - Residential,0,9
5/10/2021,Faculty/Staff,Non-Residential,1,129
5/10/2021,Students,Students - Non-Residential,0,294
5/10/2021,Students,Students - Residential,0,58
5/11/2021,Faculty/Staff,Non-Residential,2,127
5/11/2021,Students,Students - Non-Residential,0,214
5/11/2021,Students,Students - Residential,0,60
5/12/2021,Faculty/Staff,Non-Residential,1,151
5/12/2021,Students,Students - Non-Residential,0,351
5/12/2021,Students,Students - Residential,1,51
5/13/2021,Faculty/Staff,Non-Residential,0,34
5/13/2021,Students,Students - Non-Residential,1,89
5/13/2021,Students,Students - Residential,0,42
5/14/2021,Faculty/Staff,Non-Residential,0,46
5/14/2021,Students,Students - Non-Residential,0,115
5/14/2021,Students,Students - Residential,0,15
5/15/2021,Faculty/Staff,Non-Residential,0,2
5/15/2021,Students,Students - Non-Residential,0,13
5/15/2021,Students,Students - Residential,0,1
5/16/2021,Faculty/Staff,Non-Residential,0,32
5/16/2021,Students,Students - Non-Residential,0,85
5/16/2021,Students,Students - Residential,0,37
5/17/2021,Faculty/Staff,Non-Residential,4,120
5/17/2021,Students,Students - Non-Residential,2,158
5/17/2021,Students,Students - Residential,0,43
5/18/2021,Faculty/Staff,Non-Residential,2,66
5/18/2021,Students,Students - Non-Residential,0,137
5/18/2021,Students,Students - Residential,0,11
5/19/2021,Faculty/Staff,Non-Residential,2,89
5/19/2021,Students,Students - Non-Residential,1,169
5/19/2021,Students,Students - Residential,0,2
5/20/2021,Faculty/Staff,Non-Residential,1,30
5/20/2021,Students,Students - Non-Residential,0,131
5/20/2021,Students,Students - Residential,0,4
5/21/2021,Faculty/Staff,Non-Residential,0,45
5/21/2021,Students,Students - Non-Residential,1,54
5/21/2021,Students,Students - Residential,0,43
5/22/2021,Faculty/Staff,Non-Residential,0,1
5/22/2021,Students,Students - Non-Residential,0,3
5/23/2021,Faculty/Staff,Non-Residential,0,14
5/23/2021,Students,Students - Non-Residential,0,18
5/23/2021,Students,Students - Residential,0,13
5/24/2021,Faculty/Staff,Non-Residential,2,92
5/24/2021,Students,Students - Non-Residential,1,92
5/24/2021,Students,Students - Residential,0,46
5/25/2021,Faculty/Staff,Non-Residential,0,62
5/25/2021,Students,Students - Non-Residential,0,121
5/25/2021,Students,Students - Residential,1,19
5/26/2021,Faculty/Staff,Non-Residential,2,97
5/26/2021,Students,Students - Non-Residential,1,59
5/26/2021,Students,Students - Residential,0,4
5/27/2021,Faculty/Staff,Non-Residential,0,20
5/27/2021,Students,Students - Non-Residential,0,67
5/27/2021,Students,Students - Residential,0,5
5/28/2021,Faculty/Staff,Non-Residential,0,31
5/28/2021,Students,Students - Non-Residential,0,10
5/28/2021,Students,Students - Residential,0,1
5/29/2021,Faculty/Staff,Non-Residential,0,1
5/29/2021,Students,Students - Non-Residential,0,2
5/30/2021,Faculty/Staff,Non-Residential,0,4
5/30/2021,Students,Students - Non-Residential,0,17
5/30/2021,Students,Students - Residential,0,9
5/31/2021,Faculty/Staff,Non-Residential,0,1
5/31/2021,Students,Students - Non-Residential,0,0
6/1/2021,Faculty/Staff,Non-Residential,0,57
6/1/2021,Students,Students - Non-Residential,0,156
6/1/2021,Students,Students - Residential,0,51
6/2/2021,Faculty/Staff,Non-Residential,0,29
6/2/2021,Students,Students - Non-Residential,0,56
6/2/2021,Students,Students - Residential,0,14
6/3/2021,Faculty/Staff,Non-Residential,1,22
6/3/2021,Students,Students - Non-Residential,0,119
6/3/2021,Students,Students - Residential,0,49
6/4/2021,Faculty/Staff,Non-Residential,0,32
6/4/2021,Students,Students - Non-Residential,0,28
6/4/2021,Students,Students - Residential,0,10
6/5/2021,Faculty/Staff,Non-Residential,0,4
6/5/2021,Students,Students - Non-Residential,0,6
6/5/2021,Students,Students - Residential,0,4
6/6/2021,Students,Students - Non-Residential,0,1
6/7/2021,Faculty/Staff,Non-Residential,1,33
6/7/2021,Students,Students - Non-Residential,1,38
6/7/2021,Students,Students - Residential,0,9
6/8/2021,Faculty/Staff,Non-Residential,0,35
6/8/2021,Students,Students - Non-Residential,0,133
6/8/2021,Students,Students - Residential,0,48
6/9/2021,Faculty/Staff,Non-Residential,0,32
6/9/2021,Students,Students - Non-Residential,0,58
6/9/2021,Students,Students - Residential,0,8
6/10/2021,Faculty/Staff,Non-Residential,0,12
6/10/2021,Students,Students - Non-Residential,0,90
6/10/2021,Students,Students - Residential,0,41
6/11/2021,Faculty/Staff,Non-Residential,1,27
6/11/2021,Students,Students - Non-Residential,0,18
6/11/2021,Students,Students - Residential,0,4
6/12/2021,Students,Students - Non-Residential,0,1
6/13/2021,Faculty/Staff,Non-Residential,1,0
6/14/2021,Faculty/Staff,Non-Residential,0,31
6/14/2021,Students,Students - Non-Residential,0,46
6/14/2021,Students,Students - Residential,0,15
6/15/2021,Faculty/Staff,Non-Residential,0,25
6/15/2021,Students,Students - Non-Residential,0,107
6/15/2021,Students,Students - Residential,0,53
6/16/2021,Faculty/Staff,Non-Residential,3,20
6/16/2021,Students,Students - Non-Residential,2,59
6/16/2021,Students,Students - Residential,0,11
6/17/2021,Faculty/Staff,Non-Residential,0,10
6/17/2021,Students,Students - Non-Residential,0,88
6/17/2021,Students,Students - Residential,0,51
6/18/2021,Faculty/Staff,Non-Residential,1,20
6/18/2021,Students,Students - Non-Residential,1,13
6/18/2021,Students,Students - Residential,0,2
6/19/2021,Faculty/Staff,Non-Residential,0,1
6/19/2021,Students,Students - Non-Residential,0,3
6/20/2021,Faculty/Staff,Non-Residential,0,1
6/20/2021,Students,Students - Non-Residential,0,1
6/20/2021,Students,Students - Residential,0,2
6/21/2021,Faculty/Staff,Non-Residential,1,22
6/21/2021,Students,Students - Non-Residential,0,43
6/21/2021,Students,Students - Residential,0,15
6/22/2021,Faculty/Staff,Non-Residential,3,17
6/22/2021,Students,Students - Non-Residential,0,118
6/22/2021,Students,Students - Residential,0,47
6/23/2021,Faculty/Staff,Non-Residential,2,20
6/23/2021,Students,Students - Non-Residential,1,77
6/23/2021,Students,Students - Residential,0,19
6/24/2021,Faculty/Staff,Non-Residential,1,18
6/24/2021,Students,Students - Non-Residential,0,98
6/24/2021,Students,Students - Residential,0,52
6/25/2021,Faculty/Staff,Non-Residential,4,24
6/25/2021,Students,Students - Non-Residential,1,8
6/25/2021,Students,Students - Residential,0,0
6/26/2021,Faculty/Staff,Non-Residential,0,1
6/26/2021,Students,Students - Non-Residential,0,1
6/27/2021,Students,Students - Non-Residential,0,7
6/27/2021,Students,Students - Residential,0,4
6/28/2021,Faculty/Staff,Non-Residential,0,17
6/28/2021,Students,Students - Non-Residential,0,36
6/28/2021,Students,Students - Residential,0,11
6/29/2021,Faculty/Staff,Non-Residential,2,29
6/29/2021,Students,Students - Non-Residential,0,118
6/29/2021,Students,Students - Residential,0,42
6/30/2021,Faculty/Staff,Non-Residential,3,17
6/30/2021,Students,Students - Non-Residential,1,91
6/30/2021,Students,Students - Residential,0,21
7/1/2021,Faculty/Staff,Non-Residential,1,23
7/1/2021,Students,Students - Non-Residential,0,79
7/1/2021,Students,Students - Residential,0,48
7/2/2021,Faculty/Staff,Non-Residential,0,19
7/2/2021,Students,Students - Non-Residential,1,5
7/4/2021,Faculty/Staff,Non-Residential,0,2
7/5/2021,Faculty/Staff,Non-Residential,0,4
7/5/2021,Students,Students - Non-Residential,0,2
7/6/2021,Faculty/Staff,Non-Residential,4,33
7/6/2021,Students,Students - Non-Residential,1,20
7/6/2021,Students,Students - Residential,1,18
7/7/2021,Faculty/Staff,Non-Residential,2,36
7/7/2021,Students,Students - Non-Residential,1,96
7/7/2021,Students,Students - Residential,0,20
7/8/2021,Faculty/Staff,Non-Residential,1,35
7/8/2021,Students,Students - Non-Residential,1,66
7/8/2021,Students,Students - Residential,0,33
7/9/2021,Faculty/Staff,Non-Residential,1,23
7/9/2021,Students,Students - Non-Residential,0,35
7/9/2021,Students,Students - Residential,0,14
7/10/2021,Faculty/Staff,Non-Residential,0,0
7/10/2021,Students,Students - Non-Residential,0,1
7/11/2021,Faculty/Staff,Non-Residential,0,1
7/11/2021,Students,Students - Non-Residential,0,1
7/12/2021,Faculty/Staff,Non-Residential,3,34
7/12/2021,Students,Students - Non-Residential,0,38
7/12/2021,Students,Students - Residential,0,16
7/13/2021,Faculty/Staff,Non-Residential,3,33
7/13/2021,Students,Students - Non-Residential,1,89
7/13/2021,Students,Students - Residential,0,38
7/14/2021,Faculty/Staff,Non-Residential,5,26
7/14/2021,Students,Students - Non-Residential,0,88
7/14/2021,Students,Students - Residential,0,23
7/15/2021,Faculty/Staff,Non-Residential,1,34
7/15/2021,Students,Students - Non-Residential,0,75
7/15/2021,Students,Students - Residential,0,37
7/16/2021,Faculty/Staff,Non-Residential,5,32
7/16/2021,Students,Students - Non-Residential,0,27
7/16/2021,Students,Students - Residential,0,6
7/17/2021,Faculty/Staff,Non-Residential,0,5
7/17/2021,Students,Students - Non-Residential,0,3
7/18/2021,Faculty/Staff,Non-Residential,0,2
7/19/2021,Faculty/Staff,Non-Residential,5,53
7/19/2021,Students,Students - Non-Residential,1,50
7/19/2021,Students,Students - Residential,0,19
7/20/2021,Faculty/Staff,Non-Residential,9,50
7/20/2021,Students,Students - Non-Residential,2,94
7/20/2021,Students,Students - Residential,0,34
7/21/2021,Faculty/Staff,Non-Residential,7,43
7/21/2021,Students,Students - Non-Residential,0,87
7/21/2021,Students,Students - Residential,0,28
7/22/2021,Faculty/Staff,Non-Residential,11,46
7/22/2021,Students,Students - Non-Residential,2,73
7/22/2021,Students,Students - Residential,0,55
7/23/2021,Faculty/Staff,Non-Residential,5,47
7/23/2021,Students,Students - Non-Residential,0,26
7/23/2021,Students,Students - Residential,0,50
7/24/2021,Faculty/Staff,Non-Residential,0,4
7/24/2021,Students,Students - Non-Residential,0,5
7/24/2021,Students,Students - Residential,0,1
7/25/2021,Faculty/Staff,Non-Residential,1,2
7/25/2021,Students,Students - Non-Residential,0,1
7/26/2021,Faculty/Staff,Non-Residential,17,46
7/26/2021,Students,Students - Non-Residential,0,48
7/26/2021,Students,Students - Residential,1,20
7/27/2021,Faculty/Staff,Non-Residential,9,69
7/27/2021,Students,Students - Non-Residential,4,80
7/27/2021,Students,Students - Residential,1,30
7/28/2021,Faculty/Staff,Non-Residential,11,66
7/28/2021,Students,Students - Non-Residential,3,82
7/28/2021,Students,Students - Residential,1,19
7/29/2021,Faculty/Staff,Non-Residential,4,50
7/29/2021,Students,Students - Non-Residential,3,62
7/29/2021,Students,Students - Residential,0,24
7/30/2021,Faculty/Staff,Non-Residential,5,48
7/30/2021,Students,Students - Non-Residential,0,16
7/30/2021,Students,Students - Residential,1,2
7/31/2021,Faculty/Staff,Non-Residential,2,6
7/31/2021,Students,Students - Non-Residential,0,3
8/1/2021,Faculty/Staff,Non-Residential,0,4
8/1/2021,Students,Students - Non-Residential,0,1
8/2/2021,Faculty/Staff,Non-Residential,7,75
8/2/2021,Students,Students - Non-Residential,5,45
8/2/2021,Students,Students - Residential,1,12
8/3/2021,Faculty/Staff,Non-Residential,16,97
8/3/2021,Students,Students - Non-Residential,2,69
8/3/2021,Students,Students - Residential,0,19
8/4/2021,Faculty/Staff,Non-Residential,6,66
8/4/2021,Students,Students - Non-Residential,3,73
8/4/2021,Students,Students - Residential,1,13
8/5/2021,Faculty/Staff,Non-Residential,6,73
8/5/2021,Students,Students - Non-Residential,1,74
8/5/2021,Students,Students - Residential,1,23
8/6/2021,Faculty/Staff,Non-Residential,10,74
8/6/2021,Students,Students - Non-Residential,1,21
8/6/2021,Students,Students - Residential,0,2
8/7/2021,Faculty/Staff,Non-Residential,1,6
8/7/2021,Students,Students - Non-Residential,0,13
8/7/2021,Students,Students - Residential,0,86
8/8/2021,Faculty/Staff,Non-Residential,3,9
8/8/2021,Students,Students - Non-Residential,0,20
8/8/2021,Students,Students - Residential,1,73
8/9/2021,Faculty/Staff,Non-Residential,9,104
8/9/2021,Students,Students - Non-Residential,1,71
8/9/2021,Students,Students - Residential,0,94
8/10/2021,Faculty/Staff,Non-Residential,16,82
8/10/2021,Students,Students - Non-Residential,3,49
8/10/2021,Students,Students - Residential,0,33
8/11/2021,Faculty/Staff,Non-Residential,6,85
8/11/2021,Students,Students - Non-Residential,4,78
8/11/2021,Students,Students - Residential,0,26
8/12/2021,Faculty/Staff,Non-Residential,10,65
8/12/2021,Students,Students - Non-Residential,2,51
8/12/2021,Students,Students - Residential,0,31
8/13/2021,Faculty/Staff,Non-Residential,3,72
8/13/2021,Students,Students - Non-Residential,2,41
8/13/2021,Students,Students - Residential,0,77
8/14/2021,Faculty/Staff,Non-Residential,1,11
8/14/2021,Students,Students - Non-Residential,1,2
8/15/2021,Faculty/Staff,Non-Residential,2,11
8/15/2021,Students,Students - Non-Residential,1,14
8/15/2021,Students,Students - Residential,1,215
